Nch	yield	staterr	syserr
637.500000000	0.000300722	0.000012800	-0.000012800
642.500000000	0.000212920	0.000010800	-0.000010800
647.500000000	0.000164629	0.000009500	-0.000009500
652.500000000	0.000124569	0.000008270	-0.000008270
657.500000000	0.000079600	0.000006610	-0.000006610
662.500000000	0.000065300	0.000005990	-0.000005990
667.500000000	0.000041200	0.000004750	-0.000004750
672.500000000	0.000028000	0.000003920	-0.000003920
677.500000000	0.000018100	0.000003150	-0.000003150
682.500000000	0.000013200	0.000002690	-0.000002690
687.500000000	0.000004940	0.000001650	-0.000001650
692.500000000	0.000007130	0.000001980	-0.000001980
697.500000000	0.000002200	0.000001100	-0.000001100
702.500000000	0.000000000	0.000000000	0.000000000
707.500000000	0.000001650	0.000000950	-0.000000950
712.500000000	0.000001100	0.000000776	-0.000000776
717.500000000	0.000000000	0.000000000	0.000000000
722.500000000	0.000000000	0.000000000	0.000000000
727.500000000	0.000000000	0.000000000	0.000000000
732.500000000	0.000000000	0.000000000	0.000000000
737.500000000	0.000000000	0.000000000	0.000000000
742.500000000	0.000000000	0.000000000	0.000000000
747.500000000	0.000000549	0.000000549	-0.000000549
752.500000000	0.000000000	0.000000000	0.000000000
757.500000000	0.000000000	0.000000000	0.000000000
762.500000000	0.000000549	0.000000549	-0.000000549
767.500000000	0.000000000	0.000000000	0.000000000
772.500000000	0.000000000	0.000000000	0.000000000
777.500000000	0.000000000	0.000000000	0.000000000
782.500000000	0.000000000	0.000000000	0.000000000
787.500000000	0.000000000	0.000000000	0.000000000
792.500000000	0.000000000	0.000000000	0.000000000
797.500000000	0.000000000	0.000000000	0.000000000
802.500000000	0.000000000	0.000000000	0.000000000
807.500000000	0.000000000	0.000000000	0.000000000
812.500000000	0.000000000	0.000000000	0.000000000
817.500000000	0.000000000	0.000000000	0.000000000
822.500000000	0.000000000	0.000000000	0.000000000
827.500000000	0.000000000	0.000000000	0.000000000
832.500000000	0.000000000	0.000000000	0.000000000
837.500000000	0.000000000	0.000000000	0.000000000
842.500000000	0.000000000	0.000000000	0.000000000
847.500000000	0.000000000	0.000000000	0.000000000
852.500000000	0.000000000	0.000000000	0.000000000
857.500000000	0.000000000	0.000000000	0.000000000
862.500000000	0.000000000	0.000000000	0.000000000
867.500000000	0.000000000	0.000000000	0.000000000
872.500000000	0.000000000	0.000000000	0.000000000
877.500000000	0.000000000	0.000000000	0.000000000
882.500000000	0.000000000	0.000000000	0.000000000
887.500000000	0.000000000	0.000000000	0.000000000
892.500000000	0.000000000	0.000000000	0.000000000
897.500000000	0.000000000	0.000000000	0.000000000
902.500000000	0.000000000	0.000000000	0.000000000
907.500000000	0.000000000	0.000000000	0.000000000
912.500000000	0.000000000	0.000000000	0.000000000
917.500000000	0.000000000	0.000000000	0.000000000
922.500000000	0.000000000	0.000000000	0.000000000
927.500000000	0.000000000	0.000000000	0.000000000
932.500000000	0.000000000	0.000000000	0.000000000
937.500000000	0.000000000	0.000000000	0.000000000
942.500000000	0.000000000	0.000000000	0.000000000
947.500000000	0.000000000	0.000000000	0.000000000
952.500000000	0.000000000	0.000000000	0.000000000
957.500000000	0.000000000	0.000000000	0.000000000
962.500000000	0.000000000	0.000000000	0.000000000
967.500000000	0.000000000	0.000000000	0.000000000
972.500000000	0.000000000	0.000000000	0.000000000
977.500000000	0.000000000	0.000000000	0.000000000
982.500000000	0.000000000	0.000000000	0.000000000
987.500000000	0.000000000	0.000000000	0.000000000
992.500000000	0.000000000	0.000000000	0.000000000
997.500000000	0.000000000	0.000000000	0.000000000
